Year,Month,Platform,Region,Genre,Song Type,Age Group (18-24),Age Group (25-34),Age Group (35-44),Age Group (45-54),Age Group (55+),Male (%),Female (%),Device Type,Monthly Active Users (MAU),Monthly Streams,Revenue (USD),ARPU (USD),Paid Subscribers (%),Free Subscribers (%),Likes,Shares,Comments,Peak Streaming Hours (UTC),Churn Rate (%)
2019,10,Amazon Music,India,Rock,Album,1083,3203,3275,2368,2233,47,53,Desktop,430462,435782,98111,11.035724338576092,14,86,1274,4617,2424,12:00,40.25582050541567
2024,12,YouTube,North America,Rock,EP,2360,2494,2744,2249,1397,59,41,PS5,314097,219185,182379,10.093551751811765,64,36,4130,1836,1127,21:00,15.797579321843513
2022,04,YouTube,South America,Classical,Single,2667,3292,2742,1773,1685,35,65,PS5,123702,459450,106400,16.21899130750726,44,56,4494,4861,3034,00:00,35.14328916577254
2020,09,YouTube,Asia,Jazz,EP,1464,3050,2367,2877,599,60,40,Desktop,340824,460081,182591,8.337263641240817,25,75,4587,1763,3115,18:00,24.306277200160213
2022,03,Amazon Music,Africa,Pop,Single,2093,2936,2673,1072,1158,61,39,PS5,170840,113974,51489,14.540410290406275,44,56,4876,1269,800,12:00,18.103425689215292
2020,01,YouTube,Japan,Rock,Single,1376,2483,1547,1379,1589,35,65,Mobile,201597,154656,76196,12.988057847366928,6,94,2390,3893,1830,18:00,42.31149301575503
2022,08,Apple Music,Europe,Classical,EP,1619,3655,1782,2138,1558,44,56,Tablet,437590,395109,91283,4.595523487150036,25,75,1732,4166,1101,12:00,27.882526359962476
2020,04,Apple Music,South America,Rock,Album,1797,2019,2906,1792,1012,39,61,PS5,328226,299839,189906,8.683363898242792,35,65,2031,154,4738,18:00,37.33773487944087
2023,04,Apple Music,North America,Jazz,Album,1259,2166,1648,2300,1583,48,52,Desktop,286718,368466,115741,10.352787224835687,14,86,855,448,4368,06:00,13.423610317137907
2022,01,Amazon Music,Japan,Pop,Album,2641,3347,1736,1983,941,55,45,PS5,473392,222081,127187,4.678342417212067,55,45,3839,3840,4874,21:00,49.927351335903154
2023,05,Apple Music,Europe,Hip-Hop,Single,1001,2579,1535,1210,814,48,52,Desktop,252848,406940,90335,14.904493511214643,35,65,1293,866,4252,21:00,23.36232314318065
2024,03,Apple Music,Europe,Pop,Single,2386,2197,2087,2494,1064,36,64,Tablet,189063,112565,126136,7.940665570245175,64,36,1760,4710,1270,18:00,49.099031269533405
2024,04,Spotify,Africa,Rock,Album,2908,2255,3148,2847,513,49,51,Desktop,468719,213101,118470,18.637323340977783,40,60,4832,892,4697,06:00,23.357361313594517
2019,07,YouTube,North America,Hip-Hop,EP,2319,3303,3025,2549,1487,63,37,PS5,270123,453067,122344,10.158401413234717,8,92,2710,1099,2889,06:00,33.61803390731447
2022,12,YouTube,Japan,Jazz,Single,1432,2303,1948,1204,1145,58,42,Desktop,477065,411925,139470,17.901463035296818,46,54,4779,4827,4888,00:00,34.16163551362962
2022,07,Spotify,Japan,Rock,Album,1082,2050,2634,1897,874,64,36,Desktop,330808,394522,149584,5.390197658235867,40,60,1178,2655,2418,21:00,47.10471019674972
2019,05,Apple Music,India,Rock,EP,2416,3104,2887,1425,1573,44,56,Mobile,104004,217660,117383,7.62632038355205,23,77,557,3803,686,06:00,13.284403517012782
2019,08,YouTube,India,Classical,EP,1134,2613,3475,2252,1895,45,55,PS5,306972,301689,122898,8.258000626164064,40,60,4306,4150,4099,21:00,42.51551210774016
2022,05,Amazon Music,Europe,Pop,Album,1986,3653,2578,2780,1911,42,58,PS5,388845,423716,70207,16.01650303302157,54,46,1176,1683,3912,00:00,36.61760121145272
2019,10,Amazon Music,North America,Pop,Single,1457,2752,1826,2447,1222,63,37,Tablet,311071,438870,95085,18.397268186243025,6,94,4473,4979,4886,00:00,19.59804038456671
2022,12,Amazon Music,Japan,Electronic,EP,1525,2110,2618,1331,1584,43,57,Tablet,160996,239356,77396,18.490605422800968,55,45,4703,4170,1055,12:00,27.104528134799917
2022,02,Spotify,India,Pop,EP,2104,3646,2946,2629,1113,45,55,PS5,259396,453978,171287,1.4451335096102458,29,71,2649,595,3081,12:00,45.07824656940114
2019,01,Apple Music,Africa,Hip-Hop,Album,2966,3668,1764,1006,650,61,39,PS5,477561,218225,82825,4.336922654597938,53,47,3883,4064,3360,12:00,38.59137722137659
2024,05,Apple Music,North America,Pop,Album,2967,3352,3162,1612,1434,63,37,Desktop,123754,194408,57541,11.100590941203981,21,79,1100,371,1500,18:00,29.484398894232328
2020,06,Amazon Music,South America,Rock,EP,2275,2915,1734,1103,2431,58,42,Mobile,352281,264054,191789,3.596108670975984,49,51,4004,3614,1911,06:00,41.99577555019997
2023,08,Amazon Music,Asia,Jazz,Single,2063,3181,3225,2452,1115,61,39,Tablet,328092,347350,72327,15.00513581502899,28,72,4127,3259,1167,12:00,22.533975266295567
2022,11,Spotify,South America,Hip-Hop,Single,1375,2560,2094,1144,1390,52,48,Tablet,393962,287802,60941,5.003821489621343,25,75,641,3645,1138,12:00,42.90948297776392
2023,11,Apple Music,South America,Electronic,Album,2695,3762,3256,1263,2443,35,65,Mobile,436970,118143,181739,9.259109519707534,49,51,3817,1138,4961,12:00,16.609499953646925
2023,01,YouTube,South America,Classical,EP,2780,3321,2676,2725,1452,60,40,PS5,411566,318273,62343,16.823031942513175,25,75,4634,1602,1477,21:00,27.059525737282716
2019,07,YouTube,Europe,Pop,Album,1162,3817,2576,1556,2407,41,59,PS5,194710,387701,134406,18.42111449910977,35,65,1395,2139,761,06:00,40.34575864183631
2024,01,Apple Music,India,Rock,Album,1270,3281,1729,2428,1924,43,57,PS5,293584,424458,91219,4.100897876766077,11,89,2663,1163,195,06:00,7.103971376377922
2020,10,YouTube,South America,Hip-Hop,Album,1228,3802,2066,1746,2427,38,62,Mobile,377721,326634,119047,8.033406024427883,66,34,1292,252,875,06:00,37.464371772958415
2022,06,Amazon Music,Asia,Electronic,Single,1569,3737,2668,2550,1506,61,39,PS5,363401,111021,64346,5.275477589396184,60,40,3526,2648,3893,21:00,10.286102485533787
2019,09,Amazon Music,Asia,Rock,Album,2468,2525,2379,1597,2218,64,36,Mobile,277460,161270,156589,5.2013416125989185,66,34,2011,3011,1837,00:00,35.62816080592739
2024,03,Amazon Music,Japan,Pop,Album,2676,3589,2304,2676,1087,45,55,PS5,411757,224339,110053,12.180464830969983,28,72,3268,2096,1708,00:00,32.22127396615074
2024,09,Spotify,North America,Classical,Album,2002,3693,1824,1105,2404,58,42,Mobile,248548,445715,190371,3.548213369858914,67,33,1829,3655,2637,00:00,23.177943487023793
2024,04,YouTube,South America,Classical,Single,1387,2861,2723,2546,1878,57,43,Desktop,109610,246265,180972,16.57051620699182,41,59,2055,2398,2934,12:00,40.66227187173946
2022,03,Spotify,Europe,Rock,EP,1588,2704,1973,2063,981,60,40,Mobile,381701,155967,103533,12.276023218005461,12,88,1281,164,2797,00:00,6.358063796019451
2020,12,Spotify,India,Classical,Album,1747,2828,3438,1554,1326,63,37,PS5,351585,498986,141385,14.790054604879055,44,56,4249,4156,3684,00:00,43.5666748136054
2024,12,Spotify,Asia,Hip-Hop,Album,2334,3973,2045,1198,1711,45,55,Tablet,226275,393998,116739,17.986957601506585,64,36,539,1340,2056,00:00,26.893659117912083
2019,12,Spotify,North America,Rock,Album,2663,2476,3049,1046,519,63,37,PS5,450164,445804,186416,4.28727094209045,39,61,2948,4075,1476,18:00,32.48439500586592
2023,05,Amazon Music,India,Classical,Album,1396,2858,2394,1381,1473,41,59,PS5,246576,375139,127237,12.211141431567619,29,71,2010,1304,2911,00:00,13.640934393140459
2024,04,Amazon Music,South America,Rock,Single,1349,3277,1557,2035,1836,64,36,Desktop,255172,414251,172910,16.168378202855152,60,40,4767,3938,4460,12:00,12.608348215066858
2022,04,YouTube,Africa,Jazz,Album,1462,2723,3095,1870,1720,57,43,Desktop,187919,165779,116224,11.658467684226304,18,82,4209,610,3306,21:00,9.509784209645844
2024,08,Spotify,India,Pop,Single,1512,2968,3258,1973,2408,49,51,PS5,225891,317229,125380,10.761547056434239,31,69,3959,1340,4854,00:00,37.175003057202616
2020,07,Amazon Music,Japan,Pop,Album,1088,3936,3254,2806,2083,53,47,Mobile,295108,171658,132138,10.463634371416862,45,55,3093,1294,2902,12:00,38.58333351843039
2019,12,Apple Music,Japan,Pop,Single,2731,3077,2383,1947,905,54,46,Mobile,404801,296477,87699,17.75960348654436,42,58,3705,1754,2039,00:00,18.49272074684594
2019,07,YouTube,Europe,Rock,Album,1417,2741,1817,2130,1152,60,40,Desktop,169817,409036,61488,6.740905977353979,43,57,4216,1430,4096,12:00,26.468918172415126
2023,03,Amazon Music,Japan,Hip-Hop,EP,1883,2800,1973,1411,1588,40,60,PS5,206116,498605,69658,2.82010173082833,13,87,4522,4200,3696,18:00,28.440001180711537
2022,10,YouTube,South America,Rock,Single,1634,3976,2888,2501,2389,36,64,Desktop,409410,413283,162072,15.447664231148204,39,61,3247,2641,2679,12:00,30.431453074295725
2020,02,YouTube,Africa,Classical,Album,2243,2484,3175,2984,1541,53,47,Mobile,399365,415691,67522,18.324411039062333,68,32,535,2857,2023,00:00,37.51379057741597
2020,02,Apple Music,Europe,Classical,Single,2240,3671,1701,2772,1650,36,64,PS5,284329,480983,141523,14.080220817805904,33,67,4681,1994,3164,00:00,30.23786810131137
2020,12,Spotify,Japan,Hip-Hop,EP,2477,2404,3018,1101,1468,61,39,Tablet,303268,107811,173321,8.473832908524379,18,82,4740,2769,4993,12:00,43.84132593536707
2023,04,Apple Music,Africa,Rock,Album,2916,3330,2358,2825,2457,64,36,PS5,305659,474427,120852,5.935381945457142,42,58,3622,461,2495,18:00,13.094557430748907
2022,04,Apple Music,South America,Jazz,EP,1351,2711,3207,1236,1696,45,55,Mobile,442155,182774,57056,1.5724622862801005,36,64,4982,1554,1154,06:00,49.22313550778092
2019,01,YouTube,North America,Hip-Hop,Single,1534,2237,3070,1596,821,53,47,Mobile,187250,136869,150588,11.778710456956663,23,77,4419,1183,4050,21:00,13.252300284870119
2024,05,Amazon Music,South America,Classical,Single,2911,2031,1792,2368,2217,40,60,Mobile,317937,372178,151736,13.09391831977992,60,40,1799,774,3306,21:00,38.32036784304259
2022,08,Apple Music,Africa,Classical,Single,1098,2513,3116,2763,647,36,64,PS5,246146,347960,177333,4.467902825485282,44,56,1018,428,2462,21:00,30.58152408422973
2019,10,Spotify,Africa,Jazz,EP,2817,3298,1864,2896,2478,53,47,Mobile,406185,307323,161975,9.801505835622299,18,82,3476,3707,187,06:00,24.738656796217363
2023,11,Amazon Music,Europe,Classical,Single,2958,2306,2859,2744,872,61,39,Tablet,270891,392186,173323,17.938066574434885,10,90,2530,2083,3869,21:00,34.01100053821602
2024,08,Amazon Music,North America,Electronic,Single,2948,2821,3060,1852,1620,52,48,Desktop,297858,211868,64354,18.024549918435593,66,34,3692,4158,4943,12:00,6.169049839812137
2020,05,YouTube,Africa,Classical,Single,1528,3484,2747,1658,694,38,62,PS5,126963,403836,154142,11.62791868947178,55,45,3325,4474,4848,06:00,48.166026982097385
2022,01,Spotify,Asia,Classical,Single,2938,2308,3168,2614,2370,62,38,Mobile,191978,136450,130508,4.480448274625243,43,57,1217,2007,3281,06:00,30.252198438845838
2023,03,Amazon Music,South America,Hip-Hop,Album,2502,3038,2552,2901,851,58,42,Desktop,347089,151171,78985,2.1837561007311006,25,75,441,4291,944,00:00,33.65325850806961
2024,07,Apple Music,South America,Jazz,Single,2463,2911,2604,1055,2127,51,49,Tablet,190064,230857,171878,13.682248332812359,47,53,3608,3460,1383,12:00,48.96853680203294
2024,08,Spotify,Asia,Rock,EP,1649,3907,2473,1247,1526,41,59,Desktop,441290,377887,121012,19.15911210307152,63,37,2448,4976,4358,21:00,19.21497450864952
2019,05,Apple Music,Europe,Hip-Hop,EP,2476,2221,3093,1204,2453,42,58,Desktop,248403,417758,108639,18.28733701291757,46,54,2988,3717,2111,21:00,37.15209161921094
2019,10,Amazon Music,India,Electronic,Single,1958,2428,2157,1718,1430,55,45,Tablet,402746,338308,100659,7.06913135865672,68,32,3489,2948,1571,00:00,27.866593125413655
2022,10,YouTube,Africa,Electronic,EP,2551,3555,3392,2528,506,44,56,PS5,224600,417621,50104,15.960247093517872,58,42,2290,268,2533,00:00,13.23305822828862
2024,01,YouTube,Europe,Rock,Single,1035,2931,1686,1853,662,51,49,Desktop,112877,206925,79551,6.543791502164784,30,70,3667,2402,3411,12:00,20.588789707699632
2023,08,Apple Music,Asia,Classical,Album,1484,3179,3285,1083,2459,37,63,PS5,280864,327483,167890,4.542161837375259,52,48,4786,2854,4544,06:00,35.93203879197097
2020,06,Spotify,Japan,Classical,Album,2215,3971,2017,2741,1905,56,44,Desktop,354768,390722,61926,8.269826690337247,50,50,2669,1407,4060,18:00,18.17683300211415
2023,04,Amazon Music,South America,Jazz,Single,1604,3610,2214,2265,1834,40,60,Tablet,466161,497006,77771,12.958544221944653,44,56,1081,1129,1748,06:00,16.399439139759025
2019,09,Apple Music,Japan,Rock,EP,2782,3544,3146,1328,1158,56,44,Tablet,190190,134922,183230,6.078658486372478,66,34,3432,4626,3321,00:00,47.73296929748335
2023,10,Spotify,Asia,Rock,EP,1694,3403,3191,2825,2319,56,44,Mobile,472632,336721,55589,16.143399290740785,44,56,460,3415,828,06:00,18.385828693384603
2019,10,Spotify,Asia,Classical,Album,1982,2505,3061,2166,796,43,57,PS5,355138,145046,131015,8.549399751386197,30,70,947,4360,1857,21:00,7.15322087488839
2023,10,Apple Music,India,Hip-Hop,Album,1734,2359,3405,2904,2383,40,60,Mobile,285595,407747,135139,5.503739482394045,12,88,3844,257,3521,00:00,22.733981175463022
2020,07,Apple Music,North America,Rock,EP,2615,3032,1569,1250,1054,47,53,Tablet,438699,119055,91352,3.8136391706708346,7,93,2412,3864,2081,06:00,14.161381621701938
2022,01,Apple Music,Asia,Rock,Album,2702,3433,2377,1528,502,44,56,Mobile,274314,480394,155546,17.325748618707223,16,84,4488,2428,495,12:00,25.406961032037724
2023,04,YouTube,Europe,Pop,Album,1008,2295,2334,2872,1077,52,48,Desktop,302358,375376,145901,18.621131972447742,32,68,1151,162,4272,00:00,35.06904500610226
2020,06,YouTube,North America,Classical,Single,2083,3337,1789,1052,900,35,65,Desktop,328350,256436,122527,17.61964695911397,10,90,728,3037,401,21:00,5.40527608641555
2020,01,Apple Music,Japan,Classical,Album,2361,3820,2494,2425,720,55,45,Mobile,101100,267596,50633,19.344949974521256,50,50,4099,3044,3310,12:00,9.589686109999413
2022,10,Apple Music,South America,Classical,Album,1141,3589,2702,2414,1182,47,53,PS5,156894,141666,140412,19.985893875739865,45,55,2663,3748,2652,12:00,18.48712464211759
2024,05,Amazon Music,Asia,Classical,Single,1388,2247,3152,2760,2120,56,44,PS5,112763,328836,165730,8.589678785840443,5,95,1671,4702,1638,12:00,46.05364633154729
2019,06,Spotify,North America,Electronic,Album,1572,2631,1923,1504,1399,54,46,PS5,428871,342230,182423,17.214352842653405,38,62,1352,4668,3650,18:00,19.755198896984343
2023,02,Amazon Music,Asia,Rock,Album,2064,2549,1951,1989,823,49,51,Mobile,444705,419801,160793,6.841541537276989,59,41,1596,437,1440,06:00,44.635753313325004
2019,07,Apple Music,Europe,Classical,Album,1983,3504,3383,1836,1291,55,45,PS5,295416,420010,63337,12.4036560052835,57,43,894,4271,1335,00:00,22.88795691671714
2022,05,YouTube,South America,Pop,Album,2591,3498,3081,1989,1171,47,53,PS5,231324,101667,117788,6.414618469947542,31,69,1445,1875,324,21:00,7.750419364374287
2019,07,Apple Music,Europe,Classical,Album,1835,2504,2466,1971,616,61,39,Mobile,323374,323745,97198,5.703397216949794,57,43,4669,2961,4402,00:00,24.19446998029638
2020,10,Amazon Music,India,Classical,Album,2745,2150,1602,2595,1184,37,63,PS5,170869,244551,106162,14.73928874765698,35,65,775,3294,4632,21:00,18.117688593446836
2024,02,YouTube,Africa,Pop,EP,2045,2672,2597,1264,2105,64,36,Tablet,221022,378722,169413,8.224144785901077,17,83,1568,3089,1837,06:00,43.41189470321846
2023,03,Spotify,Japan,Rock,Album,1958,3143,1800,1271,2195,40,60,Mobile,330634,392426,92320,9.840254398975446,68,32,181,2941,3538,06:00,43.692632758475035
2024,08,YouTube,Europe,Electronic,EP,2527,2770,1876,2342,2485,63,37,Tablet,487111,498319,168660,10.047532881674535,41,59,3639,1154,1194,06:00,43.56440280409502
2019,02,Apple Music,Asia,Hip-Hop,Album,1825,2801,1779,2032,1414,53,47,Desktop,336339,336343,77288,10.852802318115918,65,35,4698,1170,3238,00:00,20.117949535066014
2019,04,Apple Music,South America,Hip-Hop,Album,1862,3847,3001,1636,1441,36,64,Tablet,150059,365942,136336,2.005431880568562,25,75,3558,3329,858,00:00,27.648070108228474
2023,03,YouTube,Asia,Hip-Hop,Album,1114,2704,3030,2522,2301,59,41,PS5,245356,264110,110436,12.140952528667812,63,37,2687,4292,2470,00:00,18.713697929973854
2024,09,Spotify,India,Hip-Hop,EP,1108,2561,2126,2055,943,43,57,Tablet,124683,149983,98615,12.179307683340603,6,94,519,3933,160,18:00,31.235209969815276
2020,10,YouTube,Asia,Hip-Hop,Single,1070,3015,1934,2746,1982,62,38,PS5,206226,391018,93257,18.185409662118374,5,95,3698,3874,1470,21:00,45.15069564940126
2024,11,YouTube,Asia,Rock,Album,1039,3399,2006,2670,1175,64,36,Mobile,241388,167495,93654,1.1649857167898876,67,33,222,1398,865,18:00,20.69231999210086
2019,08,YouTube,Africa,Rock,EP,2785,3803,2612,2833,749,58,42,PS5,447560,490206,57201,19.042163127562674,25,75,1502,4124,3067,00:00,11.413603613477248
2019,02,Spotify,India,Electronic,EP,2748,2049,3183,1453,1481,60,40,Desktop,494494,109916,187106,10.668540912569545,27,73,4029,1118,2939,12:00,18.09838236760391
2020,01,Spotify,India,Rock,EP,2305,3760,2411,1555,883,52,48,PS5,360387,106453,124921,11.323331381834533,56,44,3814,1855,3358,18:00,12.473964941441576
2022,09,Amazon Music,India,Jazz,Single,2830,3294,3245,2327,1740,39,61,Mobile,336880,463954,198763,19.19506484141701,41,59,3880,3798,4974,21:00,16.765140441724302
2023,06,YouTube,South America,Jazz,Single,2183,3190,2403,2713,1720,35,65,Desktop,192997,467657,156612,15.805633430824146,33,67,4622,4778,4454,00:00,32.106203846426595
2022,10,Amazon Music,Asia,Electronic,Album,1850,2693,2685,1641,2175,41,59,PS5,276983,274825,69889,1.9393017737316456,69,31,1484,1659,3712,21:00,30.740670694582274
2020,10,YouTube,Asia,Jazz,Album,2634,2092,3232,2027,1444,52,48,Tablet,237405,289977,191399,4.984697989910519,44,56,2820,1401,3827,18:00,34.79516570415289
2023,01,Apple Music,South America,Rock,Album,1986,3714,2595,1866,757,64,36,Mobile,464714,280394,129242,16.469325754498747,54,46,977,1351,2003,18:00,42.83249586933138
2022,09,Apple Music,South America,Hip-Hop,EP,2275,3018,1653,2181,2363,58,42,Desktop,301098,241063,187846,4.814817962755223,6,94,1271,3524,519,06:00,37.11262882934847
2024,01,Apple Music,India,Electronic,Single,1592,2739,2946,2668,1143,35,65,Tablet,287843,330935,166249,16.950934282313924,41,59,4502,2236,4562,21:00,9.024629805403023
2023,01,Amazon Music,North America,Rock,EP,2263,3695,2524,1538,521,53,47,Tablet,312300,275898,191558,14.096843636526565,9,91,1486,3399,754,12:00,5.638771827527203
2020,07,YouTube,Asia,Jazz,Album,1284,2907,2822,2791,1547,51,49,Desktop,252761,339863,64579,5.883465586051102,47,53,3227,3520,568,18:00,33.88211755166433
2019,04,Amazon Music,South America,Jazz,Album,2534,3236,1589,2674,2151,50,50,Tablet,355583,426770,158371,3.5325308919091998,41,59,4457,3236,3973,12:00,11.42223875524469
2023,03,Apple Music,India,Hip-Hop,Album,2018,2271,1719,1109,1022,37,63,PS5,250980,163313,120997,1.9944392568829272,54,46,3271,4148,451,18:00,6.865680479052953
2022,04,YouTube,Africa,Rock,Album,2493,3844,3427,2670,550,38,62,Tablet,318456,263123,164893,17.27930252036904,24,76,2971,4164,3468,06:00,40.378384096778674
2020,07,Spotify,India,Pop,EP,2273,3517,3467,1902,1022,59,41,PS5,428286,272302,101285,4.422755556920407,61,39,2600,1080,3695,00:00,46.47729573040175
2022,12,Spotify,North America,Pop,Album,1954,2829,1879,2845,2082,62,38,Tablet,128454,318611,73648,1.6442358979312588,44,56,2938,3476,3502,00:00,32.32905605020369
2019,04,Spotify,North America,Classical,Single,1205,3286,2578,2778,2275,37,63,Tablet,150344,448030,172008,17.69574525835188,12,88,1243,3392,2475,06:00,38.56937407130453
2022,01,Amazon Music,Europe,Hip-Hop,Single,2712,2532,3018,1206,1646,53,47,Desktop,333260,308948,93530,13.506862883732683,34,66,636,1389,2375,06:00,33.42920138844463
2022,10,Spotify,India,Pop,Single,1738,3028,2885,1284,1366,53,47,PS5,112373,132068,90541,10.296471775882903,24,76,1862,3240,4257,18:00,11.214541854566088
2022,12,YouTube,Europe,Electronic,Album,2387,2048,3105,1542,2049,50,50,Desktop,227293,340145,93931,10.80799686010875,31,69,1633,1303,282,12:00,10.533990847656689
2024,07,YouTube,Japan,Electronic,EP,1784,2750,3132,2429,1083,43,57,Tablet,292004,348470,125356,4.344381529416626,53,47,2168,4795,3842,12:00,5.538742126216388
2022,05,Spotify,Japan,Pop,Album,2472,3081,1904,2919,2339,37,63,Desktop,401816,185106,111795,5.8068745417419105,12,88,4034,2662,4156,12:00,9.984223809596898
2019,01,Apple Music,North America,Rock,Single,2757,3992,1909,2685,1758,61,39,PS5,317716,403649,178000,8.992145359191282,61,39,2691,804,1732,00:00,12.629555063046645
2019,01,Spotify,Africa,Pop,Album,2498,2336,3184,2661,1016,53,47,PS5,390283,444385,126029,16.70973760489828,25,75,3545,1648,4233,18:00,22.451411413865173
2023,10,YouTube,Europe,Classical,EP,1639,2642,1767,1165,613,60,40,Mobile,425554,263649,106066,15.393294665634143,47,53,2363,2731,3480,21:00,42.21355142740274
2019,01,Spotify,North America,Classical,EP,1229,3671,3224,2504,1429,61,39,Desktop,194203,232417,163335,18.32985205173436,52,48,4522,334,4691,12:00,8.072272494440059
2020,09,YouTube,North America,Hip-Hop,Album,1695,2093,2944,1161,1317,47,53,Desktop,435700,488791,70342,7.006977144281792,69,31,2655,3324,4148,00:00,27.92073431356226
2023,01,YouTube,Africa,Pop,Album,1772,2027,2128,2923,647,36,64,Mobile,288657,429222,94916,19.73028967472373,36,64,2771,3893,4330,12:00,39.76892570977672
2023,06,YouTube,Europe,Classical,EP,2722,2867,2626,2464,1021,40,60,PS5,297015,113573,133440,17.96263211542039,24,76,545,745,2679,12:00,40.12155126681536
2022,03,Amazon Music,Africa,Pop,EP,1427,3356,3028,1446,592,60,40,Tablet,240298,208609,131369,2.9897139484164588,61,39,4103,3858,2281,00:00,13.007517734086305
2020,04,Spotify,Asia,Electronic,Single,1227,3008,1564,2666,2386,56,44,Tablet,407611,427183,183103,9.418490534022393,19,81,3110,3480,2013,21:00,21.493744650512713
2020,05,Amazon Music,South America,Jazz,EP,2933,3249,1670,2906,2467,58,42,PS5,145499,321194,170039,8.627093541201212,37,63,4843,4007,3365,12:00,7.37155764464584
2019,10,Amazon Music,Africa,Classical,EP,1242,2531,1777,1681,684,49,51,Desktop,102359,365087,132231,2.354993230836044,47,53,4562,1153,761,06:00,28.182043538866672
2019,11,Amazon Music,Asia,Electronic,Album,2360,3110,2369,1162,2375,61,39,Mobile,184458,381931,182772,18.989902965014572,68,32,2436,550,1758,06:00,27.580114074421292
2020,04,YouTube,Europe,Jazz,EP,1186,2054,3385,1137,1000,57,43,Mobile,270412,229789,86794,14.581611885216656,29,71,3822,3961,1559,06:00,40.13518870536587
2019,03,Amazon Music,North America,Jazz,EP,1430,3335,2750,2666,1981,43,57,Tablet,439136,244002,126385,16.32647122856698,17,83,4795,160,1409,00:00,7.9831294779756785
2020,12,Apple Music,Africa,Pop,EP,1041,2514,2548,1399,834,50,50,PS5,407941,284748,186386,17.047659575344916,31,69,2608,2956,618,06:00,40.89345135767239
2023,09,Amazon Music,North America,Hip-Hop,Single,1700,3956,1768,1924,2333,58,42,Desktop,328549,137909,175020,5.601607199441174,42,58,3129,3260,823,12:00,27.538167330787875
2019,01,YouTube,Asia,Electronic,Single,1359,2286,2073,1030,1546,61,39,Desktop,103287,351259,102439,11.552873185282076,41,59,4729,3025,1682,21:00,31.633815573126537
2020,01,Amazon Music,South America,Pop,EP,1749,2834,2757,1643,1077,36,64,PS5,492199,107935,181722,12.178653621976638,10,90,2382,4070,4565,21:00,48.68283678584967
2022,02,Amazon Music,South America,Rock,EP,1499,3314,2444,2134,2247,37,63,Desktop,157408,475250,80922,17.53414861100713,39,61,1566,4816,3374,00:00,24.302705110487324
2020,01,YouTube,Europe,Hip-Hop,Single,2881,2389,1992,2891,2152,56,44,Mobile,304002,252935,180085,6.637371527978853,62,38,4935,1881,1527,12:00,31.070694934395025
2023,12,YouTube,Europe,Rock,Single,2983,2588,1904,1852,1734,53,47,Tablet,130334,368096,103099,8.560583061062346,68,32,4551,4932,4500,12:00,17.2533463651406
2024,08,Amazon Music,Japan,Rock,Album,1879,2386,1741,2409,2287,48,52,Desktop,276188,480325,179014,6.799598869460352,18,82,690,4664,585,18:00,14.009012181161436
2022,10,Apple Music,Africa,Electronic,EP,2536,2483,3352,1720,1106,36,64,Tablet,386502,362477,139371,9.94636355417996,57,43,201,2999,3233,12:00,18.00485445723006
2020,02,Spotify,India,Electronic,Album,2691,3452,2720,2091,2389,40,60,Desktop,148030,364153,166678,7.229273986773007,36,64,3991,1814,3565,18:00,49.049046328436454
2019,11,Spotify,Asia,Classical,EP,1019,3407,3475,1826,1616,49,51,Tablet,390805,331117,134025,3.1169183416074207,35,65,1341,3900,3763,18:00,33.985520449733286
2020,11,YouTube,Europe,Rock,Single,1200,3995,3113,2856,595,47,53,Desktop,272138,254424,109053,16.215463053525166,43,57,3894,3733,137,06:00,38.279066167681776
2022,07,YouTube,Japan,Pop,EP,1819,2851,1741,1771,1133,38,62,PS5,446627,437850,92186,8.716928935031408,40,60,2094,4737,1059,00:00,49.688891737285886
2020,03,Apple Music,India,Hip-Hop,Single,1539,3376,1568,2155,660,63,37,Desktop,246782,168135,151353,8.7861944370666,5,95,2709,4087,2223,18:00,13.6156775129321
2023,10,Amazon Music,India,Classical,EP,2880,3535,3111,2947,905,42,58,Desktop,322852,296986,69445,19.89649731836341,35,65,781,1561,1224,21:00,16.053806044491324
2019,11,Spotify,Africa,Rock,Single,2568,2782,3386,1062,750,57,43,PS5,236942,156457,55809,6.527829140760962,10,90,4530,350,3198,18:00,31.84365617874102
2019,01,Amazon Music,Asia,Rock,Single,1637,3622,2943,2498,1581,37,63,PS5,379303,339122,61806,1.3773283662917808,53,47,1793,4309,3680,12:00,38.763179445713945
2020,06,Spotify,South America,Pop,Single,2887,2668,3388,2341,823,52,48,Tablet,469431,134775,153392,3.9202237341877977,29,71,4491,1342,3819,18:00,6.229115250954902
2024,12,Spotify,Europe,Electronic,EP,2101,2056,1915,1694,1354,53,47,Tablet,223198,484412,63764,9.671386965057794,55,45,3100,2598,2609,18:00,36.71046680409976
2023,02,Apple Music,Japan,Electronic,EP,2307,2119,2734,1289,732,51,49,Desktop,319245,229180,80014,3.2380944443602973,69,31,2964,3742,266,12:00,49.89593309119633
2024,04,YouTube,Africa,Pop,Single,1682,2584,2290,1080,1713,35,65,Mobile,147038,283575,134225,13.292234221515367,65,35,3817,2402,1877,12:00,11.678908524331462
2024,12,Spotify,India,Classical,Single,2339,3058,1752,1488,2000,52,48,Desktop,181060,428323,183854,17.470183896297367,51,49,592,873,2844,18:00,40.581163419761914
